City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Sampit,ID,-2.5333,112.95,80.46,80,93,3.27,overcast clouds
186,Wau,SS,7.7029,27.9953,71.89,81,58,4.88,broken clouds
187,Bilibino,RU,68.0546,166.4372,64.26,33,100,22.55,overcast clouds
188,Chuy,UY,-33.6971,-53.4616,51.96,68,100,9.69,overcast clouds
189,Longyearbyen,SJ,78.2186,15.6401,44.44,70,75,17.27,broken clouds
190,Vuktyl,RU,63.8567,57.3094,50.63,87,100,5.77,overcast clouds
191,Komsomolskiy,UZ,40.4272,71.7189,70.52,60,100,6.91,light rain
192,Great Bend,US,38.3645,-98.7648,76.03,81,75,16.11,broken clouds
193,Geraldton,AU,-28.7667,114.6,61.21,88,0,11.5,clear sky
194,Abu Kamal,SY,34.4506,40.9171,80.78,38,0,18.99,clear sky
195,Saint-Philippe,RE,-21.3585,55.7679,63.99,80,87,15.93,light rain
196,Khatanga,RU,71.9667,102.5,54.93,35,92,12.55,overcast clouds
197,Vila,PT,42.0304,-8.1588,49.69,93,93,3.51,overcast clouds
198,Bastia,FR,42.6667,9.3333,75.29,83,0,2.3,clear sky
199,Yellowknife,CA,62.456,-114.3525,70.32,30,20,9.22,few clouds
200,Bonavista,CA,48.6499,-53.1147,52.14,86,79,10.0,broken clouds
201,Codajas,BR,-3.8367,-62.0569,76.23,80,89,1.99,overcast clouds
202,Payo,ID,-3.7508,103.6372,76.14,92,91,0.43,overcast clouds
203,Paralimni,CY,35.0375,33.9833,80.15,46,0,7.0,clear sky
204,Mozarlandia,BR,-14.7447,-50.5706,71.65,43,11,3.87,few clouds
205,Nikolayevka,RU,53.1257,47.2041,61.32,97,97,3.18,overcast clouds
206,Atocha,BO,-20.9333,-66.2333,33.84,17,0,14.79,clear sky
207,San Andres,CO,12.5847,-81.7006,82.42,83,40,11.5,scattered clouds
208,Constitucion,CL,-35.3333,-72.4167,51.94,93,100,16.89,light rain
209,Bima,ID,-8.4667,118.7167,85.12,64,99,7.2,overcast clouds
210,Qaanaaq,GL,77.484,-69.3632,37.78,66,47,1.05,scattered clouds
211,Trairi,BR,-3.2778,-39.2689,71.96,93,100,5.55,overcast clouds
212,Hokitika,NZ,-42.7167,170.9667,50.31,53,100,2.06,overcast clouds
213,Lahan,NP,26.7296,86.4951,86.65,66,0,9.28,clear sky
214,Cumaral,CO,4.2708,-73.4867,71.26,94,75,3.76,broken clouds
215,Mezhdurechensk,RU,53.6942,88.0603,68.79,88,44,4.76,scattered clouds
216,Sitrah,BH,26.1547,50.6206,91.36,71,0,3.44,clear sky
217,Hirara,JP,24.8,125.2833,86.27,74,40,12.66,scattered clouds
218,Saint George,US,37.1041,-113.5841,90.63,20,0,14.97,clear sky
219,Itoman,JP,26.1247,127.6694,88.57,81,20,12.66,few clouds
220,Nelson Bay,AU,-32.7167,152.15,61.09,66,77,5.01,broken clouds
221,Katsuura,JP,35.1333,140.3,73.51,88,63,10.65,broken clouds
222,Awbari,LY,26.5921,12.7805,83.07,19,0,9.42,clear sky
223,Pisco,PE,-13.7,-76.2167,62.65,77,100,10.36,overcast clouds
224,Usinsk,RU,65.9939,57.5281,47.35,84,100,13.2,overcast clouds
225,Alta Floresta,BR,-9.8756,-56.0861,72.64,52,72,1.14,broken clouds
226,Taoudenni,ML,22.6783,-3.9836,96.49,22,0,12.97,clear sky
227,Boo,SE,59.3333,18.2833,59.77,91,90,5.75,overcast clouds
228,Rio Gallegos,AR,-51.6226,-69.2181,35.65,75,0,16.11,clear sky
229,Aklavik,CA,68.2191,-135.0107,77.88,26,100,12.33,overcast clouds
