City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name,Hotel name
218,Saint George,US,90.63,clear sky,37.1041,-113.5841,,Best Western Plus Abbey Inn
219,Itoman,JP,88.57,few clouds,26.1247,127.6694,,Southern Beach Hotel & Resort Okinawa
220,Nelson Bay,AU,61.09,broken clouds,-32.7167,152.15,,Mantra Nelson Bay
221,Katsuura,JP,73.51,broken clouds,35.1333,140.3,,Katsuura Hotel Mikazuki
222,Awbari,LY,83.07,clear sky,26.5921,12.7805,,فندق أوباري
223,Pisco,PE,62.65,overcast clouds,-13.7,-76.2167,,Hotel San Isidro Oficial
224,Usinsk,RU,47.35,overcast clouds,65.9939,57.5281,,Dobro Pozhalovaty
225,Alta Floresta,BR,72.64,broken clouds,-9.8756,-56.0861,,Floresta Amazonica Hotel
226,Taoudenni,ML,96.49,clear sky,22.6783,-3.9836,,
227,Boo,SE,59.77,overcast clouds,59.3333,18.2833,,Yasuragi
228,Rio Gallegos,AR,35.65,clear sky,-51.6226,-69.2181,,Hotel Santa Cruz
229,Aklavik,CA,77.88,overcast clouds,68.2191,-135.0107,,Aklavik Inn
230,Amarante Do Maranhao,BR,71.44,clear sky,-5.5667,-46.7422,,Hotéis Caçulinha
231,Faanui,PF,80.11,few clouds,-16.4833,-151.75,,Bora-Bora Pearl Beach Resort & Spa
232,Eregli,TR,62.74,clear sky,37.5133,34.0467,,Hotel Fuat Bey
233,Aborlan,PH,80.67,overcast clouds,9.4352,118.5492,,Kevina Transient House
234,Port Macquarie,AU,64.89,clear sky,-31.4333,152.9167,,Rydges Port Macquarie
235,Buraydah,SA,86.45,light rain,26.326,43.975,,Mövenpick Qassim
236,Anadyr,RU,55.9,scattered clouds,64.75,177.4833,,Отке17.ру — жильё для командированных
237,Port Elizabeth,ZA,60.31,overcast clouds,-33.918,25.5701,,39 On Nile Guest House
238,Nanchang,CN,82.18,overcast clouds,28.6833,115.8833,,Ruidu Hotel
239,Haacht,BE,65.95,clear sky,50.9776,4.6354,,Kampeerverblijfpark Veronique
240,Luz,BR,60.87,scattered clouds,-19.8014,-45.6856,,Hotel Turista
241,Mareeba,AU,75.43,clear sky,-17.0,145.4333,,Trinity Plains Tourist Park
242,Touros,BR,74.82,light rain,-5.1989,-35.4608,,INN NEW HORIZON
243,Ambilobe,MG,61.32,clear sky,-13.2,49.05,,Hôtel & Restaurant DIANA Ambilobe
244,Saint-Francois,FR,58.44,clear sky,46.4154,3.9054,,Manoir Du Bonheur
245,Tamandare,BR,73.99,overcast clouds,-8.7597,-35.1047,,Pousada 100 Passos
246,Pokaran,IN,89.08,clear sky,26.9167,71.9167,,Motel Pokaran - RTDC
247,Bundaberg,AU,69.08,clear sky,-24.85,152.35,,Takalvan Motel
248,Florence,IT,74.53,clear sky,43.7667,11.25,,Hotel Nuova Italia
249,Cap Malheureux,MU,66.47,few clouds,-19.9842,57.6142,,Pereybere Hotel & Spa
250,Vostok,RU,67.19,overcast clouds,46.4856,135.8833,,
251,Nouadhibou,MR,73.38,few clouds,20.931,-17.0347,,El Medina
252,Chokurdakh,RU,43.95,overcast clouds,70.6333,147.9167,,
253,Saint-Augustin,CA,50.31,overcast clouds,51.226,-58.6502,,
254,West Fargo,US,82.45,clear sky,46.875,-96.9004,,Hilton Garden Inn Fargo
255,Bagdarin,RU,60.26,overcast clouds,54.4333,113.6,,Gostevoy Dom Terem
256,Vanimo,PG,84.81,clear sky,-2.6741,141.3028,,Vahmoneh Lodge Vanimo
257,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,,Paradise Inn
258,Sabang,ID,81.01,light rain,5.8933,95.3214,,Hotel Citra
259,Freeport,US,64.38,mist,40.6576,-73.5832,,The Freeport Inn and Marina
260,Keelung,TW,93.11,clear sky,25.1283,121.7419,,East Coast Star Boutique Hotel
261,Dwarka,IN,84.56,broken clouds,22.2394,68.9678,,Hotel Narayan Avezika Comfort
262,Pionerskiy,RU,51.75,clear sky,54.9508,20.2275,,Baltica Pension
263,Iskateley,RU,41.34,overcast clouds,67.6803,53.1512,,Hostel Agat
264,Beringovskiy,RU,47.32,overcast clouds,63.05,179.3167,,
265,Kjopsvik,NO,51.17,overcast clouds,68.097,16.3742,,Stetind Hotell
266,Samana,DO,77.47,overcast clouds,19.2056,-69.3369,,The Bannister - Hotel & Yacht Club
267,Kyra,RU,67.35,clear sky,49.5776,111.9753,,
268,Sortland,NO,48.16,overcast clouds,68.6949,15.4162,,Sortland Hotel
269,Hamilton,US,74.77,few clouds,39.1834,-84.5333,,Six Acres Bed & Breakfast
270,Gat,IL,72.39,clear sky,31.61,34.7642,,OlusHome
271,Katsina,NG,82.65,clear sky,12.9894,7.6006,,Katsina Motel
272,Sioux Lookout,CA,69.87,scattered clouds,50.1001,-91.917,,Knobby's Fly-In Camps
273,Snasa,NO,53.35,light rain,64.2457,12.3778,,Snåsa Hotell AS
274,Srednekolymsk,RU,52.79,overcast clouds,67.45,153.6833,,
275,Coahuayana,MX,78.78,overcast clouds,18.7333,-103.6833,,El rranchito michuacan de ocampos
276,Danilov,RU,48.49,clear sky,58.1908,40.1717,,Sot'.
277,Laguna,US,95.31,broken clouds,38.421,-121.4238,,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
278,Byron Bay,AU,67.95,clear sky,-28.65,153.6167,,Backpackers Inn
279,Urucara,BR,75.42,broken clouds,-2.5364,-57.76,,Pousada Maria Bonita
280,Bukama,CD,62.49,clear sky,-9.2,25.85,,
281,Balabac,PH,85.35,scattered clouds,7.9868,117.0645,,Batalla’s Lodging House
282,Meulaboh,ID,78.46,overcast clouds,4.1363,96.1285,,Kost Pria
283,Havelock,US,80.55,scattered clouds,34.8791,-76.9013,,Sherwood Motel
284,Aripuana,BR,70.74,broken clouds,-9.1667,-60.6333,,
285,Vila Franca Do Campo,PT,64.2,light rain,37.7167,-25.4333,,Pestana Bahia Praia
286,Sola,VU,80.22,light rain,-13.8833,167.55,,Leumerus Bungalows
287,San Felipe,VE,71.4,scattered clouds,10.3399,-68.7425,,Posada Llovizna Rodríguez
288,Whitianga,NZ,56.41,clear sky,-36.8333,175.7,,Beachside Resort Whitianga
289,Lopsmarka,NO,55.51,light rain,67.3134,14.4493,,City Hotel Bodø
290,Samarai,PG,79.05,moderate rain,-10.6167,150.6667,,Nuli Sapi
291,Kodinsk,RU,60.87,overcast clouds,58.6881,99.1844,,
292,Lorengau,PG,84.15,broken clouds,-2.0226,147.2712,,Lorengau Harbourside Hotel
293,Havoysund,NO,46.63,overcast clouds,70.9963,24.6622,,Arctic View Glamping & Restaurant
294,Labuhan,ID,81.9,overcast clouds,-6.8844,112.2051,,DoubleFAG
295,Namatanai,PG,85.5,light rain,-3.6667,152.4333,,Seagulls Inn Namatani
296,Storsteinnes,NO,52.45,light rain,69.2408,19.2344,,Tingvoll
297,Whitehorse,CA,66.97,broken clouds,60.7161,-135.0538,,The Sternwheeler Hotel & Conference Centre
298,Ballina,AU,68.02,clear sky,-28.8667,153.5667,,Ramada Hotel & Suites by Wyndham Ballina Byron
299,Christchurch,NZ,50.92,overcast clouds,-43.5333,172.6333,,The George
300,Bedford,GB,60.13,clear sky,52.1346,-0.4663,,Premier Inn Bedford (Priory Marina) hotel
301,Richards Bay,ZA,64.92,overcast clouds,-28.783,32.0377,,BON Hotel Waterfront Richards Bay
302,Ostrovnoy,RU,50.41,overcast clouds,68.0531,39.5131,,
303,Nova Ushytsya,UA,52.41,broken clouds,48.8372,27.2743,,Khvylya
304,Saint-Leu,RE,66.31,light rain,-21.15,55.2833,,La Caz Oceane
305,Karratha,AU,77.67,clear sky,-20.7377,116.8463,,ibis Styles Karratha
306,Kirakira,SB,84.09,broken clouds,-10.4544,161.9205,,SanBiz Lodge
307,Chapais,CA,64.18,scattered clouds,49.7834,-74.8492,,Hôtel Opémiska
308,Nanortalik,GL,40.66,clear sky,60.1432,-45.2371,,Hotel Kap Farvel
309,Montrose,US,65.61,overcast clouds,38.4166,-108.2673,,
310,Moose Factory,CA,60.8,clear sky,51.2585,-80.6094,,Cree Village Eco Lodge
311,Karatau,KZ,69.66,overcast clouds,43.1667,70.4667,,Baza Zika
312,Autun,FR,58.93,broken clouds,46.95,4.3,,Les Ursulines Hotel
313,Portland,US,77.0,few clouds,45.5234,-122.6762,,Embassy Suites by Hilton Portland Downtown
314,Safaga,EG,83.03,clear sky,26.7292,33.9365,,Lamar Resort Abu Soma
315,Fort Dodge,US,82.4,clear sky,42.4975,-94.168,,"Country Inn & Suites by Radisson, Fort Dodge, IA"
